city,latitude,longitude
Alexander City,32.944012,-85.9538532
Andalusia,31.3085039,-86.4832033
Anniston,33.6594422,-85.8316326
Athens,33.9597677,-83.376398
Atmore,31.0237921,-87.4938708
Auburn,32.6098566,-85.4807825
Bessemer,33.4017766,-86.954437
Birmingham,33.5206824,-86.8024326
Chickasaw,30.7637991,-88.0747222
Clanton,32.8387371,-86.6294262
Cullman,34.1335332,-86.8779268
Decatur,39.8454163,-88.9524151
Demopolis,32.5178284,-87.8368201
Dothan,31.2237434,-85.3933906
Enterprise,31.3151708,-85.8552161
Eufaula,35.2873206,-95.5824846
Florence,43.438462,-75.749359
Fort Payne,34.4442547,-85.7196893
Gadsden,34.010929,-85.9989596
Greenville,34.851354,-82.3984882
Guntersville,34.3581474,-86.2947041
Huntsville,34.729847,-86.5859011
Jasper,30.7485258,-94.000884
Marion,32.7931661,-94.344488
Mobile,30.6943566,-88.0430541
Montgomery,32.3669656,-86.3006485
Opelika,32.652151,-85.4559852
Ozark,36.6467816,-92.4575198
Phenix City,32.4709761,-85.0007653
Prichard,30.7387998,-88.0788889
Scottsboro,34.6731323,-86.0338765
Selma,32.4078632,-87.0207473
Sheffield,34.7650888,-87.6986407
Sylacauga,33.177401,-86.2505399
Talladega,33.3967079,-86.1597137
Troy,42.6055893,-83.1499304
Tuscaloosa,33.2095614,-87.5675258
Tuscumbia,34.7312005,-87.70253
Tuskegee,32.4240286,-85.6916195
