city,latitude,longitude
Anchorage,61.2163129,-149.894852
Cordova,60.5439444,-145.7589103
Fairbanks,64.837845,-147.716675
Haines,59.0831232,-135.3430573
Homer,59.6440876,-151.5401477
Juneau,43.4055504,-88.7051037
Ketchikan,55.3430696,-131.6466819
Kodiak,57.79,-152.4072222
Kotzebue,66.8982057,-162.5977621
Nome,64.4989922,-165.3987994
Palmer,61.5995703,-149.1110902
Seward,37.1850331,-100.8928434
Sitka,57.0524973,-135.337612
Skagway,59.4556412,-135.3116103
Valdez,61.1299396,-146.3493638
