city,latitude,longitude
Ajo,32.3933515,-112.902723
Avondale,33.4355977,-112.349602
Bisbee,31.4481547,-109.9284084
Casa Grande,32.8795022,-111.7573521
Chandler,33.3061605,-111.84125
Clifton,40.8584328,-74.1637553
Douglas,39.7628415,-88.2170516
Flagstaff,35.1987522,-111.6518229
Florence,43.438462,-75.749359
Gila Bend,32.9478267,-112.7168239
Glendale,34.1469416,-118.2478471
Globe,33.3959623,-110.7871344
Kingman,37.5420937,-98.122172
Lake Havasu City,34.4838502,-114.3224495
Mesa,33.4151117,-111.8314792
Nogales,31.3402134,-110.9360818
Oraibi,35.8763923,-110.6404149
Phoenix,33.4484367,-112.0741417
Prescott,34.5399962,-112.4687616
Scottsdale,33.4942189,-111.9260184
Sierra Vista,31.5455709,-110.2772249
Tempe,33.4255056,-111.9400091
Tombstone,31.7129404,-110.0678887
Tucson,32.2228765,-110.9748477
Walpi,35.8324679,-110.398066
Window Rock,35.667165,-109.0634502
Winslow,35.0241874,-110.6973572
Yuma,32.665135,-114.4760316
