city,latitude,longitude
Arkadelphia,34.1209292,-93.053784
Arkansas Post,34.0237125,-91.3437303
Batesville,35.769799,-91.6409722
Benton,45.7162129,-94.0481042
Blytheville,35.9272953,-89.9189754
Camden,39.9448402,-75.1198911
Conway,35.2521996,-92.6888936
Crossett,33.1281779,-91.9612427
El Dorado,33.20763,-92.6662674
Fayetteville,36.0625843,-94.1574328
Forrest City,35.0081474,-90.7898342
Fort Smith,35.3872218,-94.4248983
Harrison,41.0195135,-73.7111637
Helena,46.5927425,-112.036277
Hope,43.303695,-74.243202
Hot Springs,34.5038393,-93.0552437
Jacksonville,30.3321838,-81.655651
Jonesboro,35.8428646,-90.7034522
Little Rock,34.7464809,-92.2895948
Magnolia,30.2093794,-95.7507815
Morrilton,35.1509173,-92.7440538
Newport,41.4899827,-71.3137707
North Little Rock,34.769536,-92.2670941
Osceola,28.0443842,-81.1437541
Pine Bluff,34.2157064,-92.0140402
Rogers,36.3320197,-94.1185366
Searcy,35.9018987,-92.7098744
Stuttgart,34.5003748,-91.5526281
Van Buren,40.749202,-91.9689529
West Memphis,35.1464797,-90.1845388
