city,latitude,longitude
Alamosa,37.5780995,-105.7890452
Aspen,39.1911128,-106.8235606
Aurora,41.7571701,-88.3147539
Boulder,40.0149856,-105.270545
Breckenridge,32.7558392,-98.9032554
Brighton,39.9069983,-104.8373997
Canon City,38.4423644,-105.2224947
Central City,42.2038829,-91.5240561
Climax,47.6077515,-96.8170222
Colorado Springs,38.8339578,-104.8253485
Cortez,37.3494528,-108.5840736
Cripple Creek,38.7466555,-105.1783149
Denver,39.7392364,-104.9848623
Durango,37.2395367,-107.8215818
Englewood,39.6482059,-104.9879641
Estes Park,40.3771926,-105.5232169
Fort Collins,40.5508527,-105.0668085
Fort Morgan,40.2502582,-103.799951
Georgetown,38.9051994,-77.062785
Glenwood Springs,39.5507448,-107.3255001
Golden,39.743768,-105.2147997
Grand Junction,39.063956,-108.5507317
Greeley,40.4233142,-104.7091322
Gunnison,38.6476702,-107.0603126
La Junta,39.996319,-79.692269
Leadville,39.2508229,-106.2925238
Littleton,39.613321,-105.0166498
Longmont,40.1672117,-105.1019287
Loveland,40.385549,-105.0443613
Montrose,38.4375391,-108.2403855
Ouray,38.146044,-107.7414887
Pagosa Springs,37.2695661,-107.0108163
Pueblo,38.2544472,-104.609141
Silverton,34.4713299,-101.3046544
Steamboat Springs,40.4848003,-106.8317359
Sterling,31.8151416,-101.0452671
Telluride,37.9374939,-107.8122852
Trinidad,37.169397,-104.5005411
Vail,39.6440207,-106.3801669
Walsenburg,37.6235234,-104.7809951
Westminster,39.8366528,-105.0372046
Westminster,39.8366528,-105.0372046
