city,latitude,longitude
Ansonia,41.3435185,-73.0710197
Berlin,44.4688795,-71.1836547
Bloomfield,40.7516884,-92.4149074
Branford,41.2795414,-72.8150989
Bridgeport,41.1847223,-73.1867205
Bristol,36.5959685,-82.1885009
Coventry,41.7000996,-71.6828444
Danbury,41.39508,-73.4752906
Darien,41.0787079,-73.4692873
Derby,37.5455735,-97.2689331
East Hartford,41.7823216,-72.6120346
East Haven,41.2762081,-72.8684337
Enfield,38.0994913,-88.3375447
Fairfield,43.13732,-74.913368
Farmington,44.6402434,-93.1435497
Greenwich,43.0906318,-73.4987251
Groton,41.3381782,-72.0297913
Guilford,41.2889866,-72.6817616
Hamden,42.1911969,-74.9946083
Hartford,41.7655582,-72.6906128
Lebanon,40.3429683,-76.4233816
Litchfield,41.747319,-73.1887243
Manchester,42.9956397,-71.4547891
Mansfield,40.75839,-82.5154471
Meriden,41.5378215,-72.8003388
Middletown,41.5496141,-72.6515776
Milford,42.5906322,-74.9451573
Mystic,40.7779741,-92.944819
Naugatuck,41.4878595,-73.0562936
New Britain,41.6796456,-72.7883468
New Haven,41.2985504,-72.9310474
New London,41.331256,-72.0964372
North Haven,41.0128704,-72.3129721
Norwalk,41.095844,-73.4205337
Norwich,42.531184,-75.5235149
Old Saybrook,41.2917652,-72.3761956
Orange,33.7500378,-117.8704931
Seymour,33.5942438,-99.2603073
Shelton,41.31561,-73.1401626
Simsbury,41.8759152,-72.8012211
Southington,41.6005435,-72.8782941
Stamford,41.072089,-73.5444361
Stonington,41.3359327,-71.9059042
Stratford,36.3361403,-102.0721191
Torrington,41.834235,-73.1277786
Wallingford,43.3196816,-94.792762
Waterbury,41.5538091,-73.0438362
Waterford,37.6413202,-120.7604834
Watertown,42.3709299,-71.1828321
West Hartford,41.7620447,-72.7420399
West Haven,41.2732501,-72.9612374
Westport,41.1414855,-73.3578955
Wethersfield,41.7142665,-72.6525922
Willimantic,41.713125,-72.217885
Windham,42.8006441,-71.304229
Windsor,38.5471327,-122.8163802
Windsor Locks,41.9281305,-72.643631
Winsted,44.9646334,-94.0489618
