city,latitude,longitude
Apalachicola,29.7255084,-84.9827725
Bartow,27.8963791,-81.8431567
Belle Glade,26.6845104,-80.6675577
Boca Raton,26.3586885,-80.0830984
Bradenton,27.4989278,-82.5748194
Cape Coral,26.6059432,-81.9806771
Clearwater,27.9658533,-82.8001026
Cocoa Beach,28.3194741,-80.6102592
Cocoa-Rockledge,28.3388602,-80.7430138
Coral Gables,25.72149,-80.2683838
Daytona Beach,29.2108147,-81.0228331
De Land,38.4512596,-75.0549333
Deerfield Beach,26.318342,-80.0996306
Delray Beach,26.4614625,-80.0728201
Fernandina Beach,30.6696818,-81.4625919
Fort Lauderdale,26.1223084,-80.1433786
Fort Myers,26.640628,-81.8723084
Fort Pierce,27.4467056,-80.3256056
Fort Walton Beach,30.4057552,-86.618842
Gainesville,29.6519684,-82.3249846
Hallandale Beach,25.9812025,-80.148379
Hialeah,25.8575963,-80.2781057
Hollywood,34.0980031,-118.329523
Homestead,25.4718946,-80.4759905
Jacksonville,30.3321838,-81.655651
Key West,24.5625566,-81.7724368
Lake City,44.4478474,-92.2678663
Lake Wales,27.9014133,-81.5859099
Lakeland,28.0394654,-81.9498042
Largo,27.9094665,-82.7873244
Melbourne,28.11771,-80.6629575
Miami,25.7741728,-80.19362
Miami Beach,25.7929198,-80.1353006
Naples,26.1421976,-81.7942944
New Smyrna Beach,29.0258132,-80.9271271
Ocala,29.1871986,-82.1400923
Orlando,28.5421109,-81.3790304
Ormond Beach,29.2854132,-81.0557921
Palatka,29.6487882,-81.6372111
Palm Bay,27.9946969,-80.6366144
Palm Beach,26.6279798,-80.4494174
Panama City,30.1600827,-85.6545729
Pensacola,30.421309,-87.2169149
Pompano Beach,26.2378597,-80.1247667
Saint Augustine,29.8946952,-81.3145395
Saint Petersburg,27.7703796,-82.6695085
Sanford,35.4798757,-79.1802994
Sarasota,27.3364347,-82.5306527
Sebring,27.4957453,-81.4410425
Tallahassee,30.4380832,-84.2809332
Tampa,27.9477595,-82.458444
Tarpon Springs,28.148083,-82.7438016
Titusville,28.6122187,-80.8075538
Venice,33.9883349,-118.4615272
West Palm Beach,26.715364,-80.0532942
White Springs,30.3299852,-82.7590279
Winter Haven,28.0222435,-81.7328568
Winter Park,28.5977707,-81.3510264
