city,latitude,longitude
Albany,42.6511674,-73.754968
Americus,32.0723862,-84.2326876
Andersonville,32.1959947,-84.1399085
Athens,33.9597677,-83.376398
Atlanta,33.7489924,-84.3902644
Augusta,33.4709714,-81.9748429
Bainbridge,30.9038252,-84.5754768
Blairsville,34.8759067,-83.958371
Brunswick,43.9145244,-69.9653278
Calhoun,28.5031572,-96.6736551
Carrollton,32.9537349,-96.8902816
Columbus,39.9622601,-83.0007065
Dahlonega,34.5328484,-83.9845723
Dalton,46.173849,-95.915609
Darien,41.0787079,-73.4692873
Decatur,39.8454163,-88.9524151
Douglas,39.7628415,-88.2170516
East Point,33.6795531,-84.4393724
Fitzgerald,31.7149082,-83.2526545
Fort Valley,32.5537585,-83.8874084
Gainesville,29.6519684,-82.3249846
La Grange,33.9753879,-89.6812783
Macon,32.8406946,-83.6324022
Marietta,33.9528472,-84.5496148
Milledgeville,33.0801429,-83.2320991
Plains,33.1887135,-102.8279889
Rome,43.2128473,-75.4557304
Savannah,32.0809263,-81.0911768
Toccoa,34.5774368,-83.332881
Valdosta,30.8327022,-83.2784851
Warm Springs,32.8904081,-84.6810381
Warner Robins,32.6200973,-83.606568
Washington,38.8950368,-77.0365427
Waycross,31.2135511,-82.3540178
