city,latitude,longitude
Blackfoot,43.190039,-112.348357
Boise,43.6166163,-116.200886
Bonners Ferry,48.6912792,-116.3161408
Caldwell,29.8298971,-97.5959641
Coeur d’Alene,47.6742994,-116.7811531
Idaho City,43.8280309,-115.8344968
Idaho Falls,43.4887907,-112.03628
Kellogg,41.7178955,-92.9073035
Lewiston,46.4195913,-117.0216144
Moscow,55.7504461,37.6174943
Nampa,43.5737361,-116.559631
Pocatello,42.8620287,-112.450627
Priest River,48.1807415,-116.909365
Rexburg,43.8235163,-111.7870222
Sun Valley,33.670169,-95.4285012
Twin Falls,42.5704456,-114.4602554
