city,latitude,longitude
Alton,38.8908583,-90.1843091
Arlington Heights,42.0811563,-87.9802164
Arthur,41.5721288,-101.6974898
Aurora,16.0,121.75
Belleville,48.8176714,6.0982683
Belvidere,42.2579991,-88.841734
Bloomington,39.1670396,-86.5342881
Brookfield,41.8228378,-87.848085
Cahokia,38.5713356,-90.1876115
Cairo,30.0443879,31.2357257
Calumet City,41.616016,-87.5295837
Canton,32.555664,-95.8640507
Carbondale,37.7274692,-89.216655
Carlinville,39.2797699,-89.8817662
Carthage,36.8548083,10.3309924
Centralia,38.5250491,-89.1334037
Champaign,40.1164841,-88.2430932
Charleston,32.7876012,-79.9402728
Chester,53.1908873,-2.8908955
Chicago,41.8755616,-87.6244212
Chicago Heights,41.5062834,-87.6357079
Cicero,41.8455398,-87.7540199
Collinsville,38.6703267,-89.9845476
Danville,40.125222,-87.6304614
Decatur,39.8454163,-88.9524151
DeKalb,41.8903447,-88.7713953
Des Plaines,42.0415823,-87.8873916
Dixon,41.8425197,-89.4814291
East Moline,41.5155176,-90.4411683
East Saint Louis,38.6244952,-90.1509429
Effingham,39.0520902,-88.6029006
Elgin,42.03726,-88.2810994
Elmhurst,41.8994745,-87.9403418
Evanston,42.0447388,-87.6930459
Freeport,42.2966861,-89.6212271
Galena,42.4157304,-90.4294726
Galesburg,40.9479779,-90.3705842
Glen Ellyn,41.8775293,-88.0670118
Glenview,38.3084193,-85.6505526
Granite City,38.7014389,-90.1487199
Harrisburg,40.2663107,-76.8861122
Herrin,50.5496844,2.9636694
Highland Park,32.831563,-96.8007733
Jacksonville,30.3321838,-81.655651
Joliet,41.5263603,-88.0840212
Kankakee,41.1253903,-87.848682
Kaskaskia,37.9212984,-89.9163078
Kewanee,41.2455927,-89.9248303
La Salle,28.3391148,-99.0982257
Lake Forest,42.2586342,-87.840625
Libertyville,40.9575203,-92.0512863
Lincoln,40.8088861,-96.7077751
Lisle,45.2787444,0.5481384
Lombard,47.0783,5.85362
Macomb,42.6741189,-82.902901
Mattoon,39.4842821,-88.3773279
Moline,41.5067003,-90.5151342
Monmouth,51.8098882,-2.7160441
Mount Vernon,38.3172715,-88.9031201
Mundelein,42.263079,-88.0039653
Naperville,41.7728699,-88.1479278
Nauvoo,40.550042,-91.3848749
Normal,40.5092866,-88.9843795
North Chicago,42.325578,-87.8411818
Oak Park,41.8878145,-87.7887615
Oregon,43.9792797,-120.737257
Ottawa,45.4211435,-75.6900574
Palatine,42.1105779,-88.0336888
Park Forest,41.4825788,-87.6802344
Park Ridge,42.0112329,-87.8406031
Pekin,39.906217,116.3912757
Peoria,40.6938609,-89.5891008
Petersburg,59.938732,30.316229
Pontiac,42.6389216,-83.2910468
Quincy,42.2509914,-71.0037374
Rantoul,40.3083672,-88.1558785
River Forest,41.8978091,-87.8139483
Rock Island,41.4411786,-90.5766144
Rockford,42.2713945,-89.093966
Salem,44.9391565,-123.033121
Shawneetown,37.713102,-88.1867027
Skokie,42.0333694,-87.7333972
South Holland,51.9966792,4.5597397
Springfield,39.7990175,-89.6439575
Streator,41.1210234,-88.8357361
Summit,39.6070951,-106.0636654
Urbana,40.1117174,-88.207301
Vandalia,38.960601,-89.0936778
Virden,49.8485092,-100.9322654
Waukegan,42.3636331,-87.8447938
Wheaton,41.8646959,-88.1101709
Wilmette,42.0757315,-87.7193768
Winnetka,42.1080703,-87.7365286
Wood River,38.861159,-90.0976069
Zion,42.4461322,-87.8328505
