city,latitude,longitude
Amana Colonies,41.813801,-91.9097303
Ames,50.536715,2.4086536
Boone,42.321246,-88.8235511
Burlington,44.4761601,-73.212906
Cedar Falls,42.5274123,-92.4453179
Cedar Rapids,41.9758872,-91.6704053
Charles City,43.0663613,-92.6724112
Cherokee,31.8390826,-95.1791849
Clinton,38.5896187,-89.420064
Council Bluffs,41.2621283,-95.8613912
Davenport,41.5236436,-90.5776368
Des Moines,41.5910323,-93.6046655
Dubuque,42.5006217,-90.6647967
Estherville,43.4016255,-94.832764
Fairfield,38.2493581,-122.039966
Fort Dodge,42.4974694,-94.1680158
Grinnell,39.12723,-100.629031
Indianola,33.4509513,-90.6550917
Iowa City,41.6612561,-91.5299106
Keokuk,41.3154792,-92.1867128
Mason City,43.1535728,-93.2010367
Mount Pleasant,33.1570582,-94.9694007
Muscatine,41.4776121,-91.1210053
Newton,30.8118989,-93.740504
Oskaloosa,41.2963365,-92.6449612
Ottumwa,41.0200145,-92.4112963
Sioux City,42.4966815,-96.4058782
Waterloo,42.4979693,-92.3329637
Webster City,42.4663069,-93.8252471
West Des Moines,41.5645337,-93.7595281
