city,latitude,longitude
Abilene,32.44645,-99.7475905
Arkansas City,37.0622562,-97.0388338
Atchison,40.4144817,-95.4359392
Chanute,37.6792135,-95.4572034
Coffeyville,37.0372999,-95.6163634
Council Grove,38.6609239,-96.491958
Dodge City,37.7527982,-100.0170787
Emporia,38.4040054,-96.181623
Fort Scott,37.8399791,-94.7082882
Garden City,37.9716898,-100.8726618
Great Bend,38.3625063,-98.7804087
Hays,30.0447901,-98.0393127
Hutchinson,35.8148236,-101.34844
Independence,39.0924792,-94.4137923
Junction City,39.0286093,-96.8313978
Kansas City,39.100105,-94.5781416
Lawrence,38.9719384,-95.2359496
Leavenworth,39.3113257,-94.922759
Liberal,37.0430812,-100.920999
Manhattan,40.7896239,-73.9598939
McPherson,38.3659015,-97.6575171
Medicine Lodge,37.2811339,-98.580361
Newton,30.8118989,-93.740504
Olathe,38.8838856,-94.81887
Osawatomie,38.4970321,-94.9508229
Ottawa,45.4211435,-75.6900574
Overland Park,38.9742502,-94.6851702
Pittsburg,40.4416941,-79.9900861
Salina,38.8402805,-97.6114237
Shawnee,39.0273676,-95.7627535
Smith Center,39.779179,-98.785075
Topeka,39.049011,-95.677556
Wichita,37.6922361,-97.3375448
