city,latitude,longitude
Ashland,46.2062319,-90.6802594
Barbourville,36.8664765,-83.8888138
Bardstown,37.8092279,-85.4669025
Berea,41.3661614,-81.8543026
Boonesborough,38.1295522,-81.2162188
Bowling Green,36.9903199,-86.4436018
Campbellsville,37.3433974,-85.3419069
Covington,39.0836224,-84.508371
Danville,40.125222,-87.6304614
Elizabethtown,37.693952,-85.8591285
Frankfort,50.1106444,8.6820917
Harlan,40.1617382,-99.4349368
Harrodsburg,37.762298,-84.8432852
Hazard,37.24954,-83.1932284
Henderson,32.182598,-95.7893178
Hodgenville,37.5737487,-85.740353
Hopkinsville,36.8657651,-87.4889532
Lexington,38.0464066,-84.4970393
Louisville,38.2542376,-85.759407
Mayfield,36.7413624,-88.6352595
Maysville,38.6411854,-83.744365
Middlesboro,36.6084155,-83.7165824
Newport,41.4899827,-71.3137707
Owensboro,37.7742152,-87.1133304
Paducah,37.0833893,-88.6000478
Paris,48.8588897,2.320041
Richmond,37.5385087,-77.43428
