city,latitude,longitude
Abbeville,50.1060835,1.8337029
Alexandria,31.199004,29.894378
Bastrop,30.0541116,-97.3887764
Baton Rouge,30.4459596,-91.18738
Bogalusa,30.7910204,-89.8486858
Bossier City,32.5369356,-93.6952689
Gretna,29.9146493,-90.0539604
Houma,29.5957696,-90.7195348
Lafayette,30.2240897,-92.0198427
Lake Charles,30.2265949,-93.2173759
Monroe,38.2722313,-90.1792484
Morgan City,29.6993748,-91.20677
Natchitoches,31.7606732,-93.0860209
New Iberia,30.0035365,-91.8187285
New Orleans,29.9499323,-90.0701156
Opelousas,30.5335302,-92.081509
Ruston,32.5232053,-92.637927
Saint Martinville,30.1252011,-91.8334498
Shreveport,32.5221828,-93.7651944
Thibodaux,29.7957633,-90.822871
