city,latitude,longitude
Auburn,32.6098566,-85.4807825
Augusta,33.4709714,-81.9748429
Bangor,44.8011821,-68.7778138
Bar Harbor,44.3876378,-68.2043361
Bath,51.3813864,-2.3596963
Belfast,54.5964411,-5.9302761
Biddeford,43.4925843,-70.4533844
Boothbay Harbor,43.8522661,-69.6280897
Brunswick,52.2646577,10.5236066
Calais,50.9524769,1.8538446
Caribou,42.780196,-111.6052607
Castine,44.388164,-68.79982
Eastport,44.906469,-66.990509
Ellsworth,38.6942009,-98.2149289
Farmington,44.6402434,-93.1435497
Fort Kent,47.262088,-68.5786491
Gardiner,44.230441,-69.775543
Houlton,46.1251286,-67.8407944
Kennebunkport,43.362131,-70.477295
Kittery,43.088448,-70.736847
Lewiston,46.4195913,-117.0216144
Lubec,44.860736,-66.984329
Machias,44.715514,-67.461548
Orono,44.883607,-68.672791
Portland,45.5202471,-122.6741949
Presque Isle,45.3375258,-83.9567881
Rockland,44.1036988,-69.1075562
Rumford,44.554271,-70.551453
Saco,42.9880406,0.5631324
Scarborough,54.2820009,-0.4011868
Waterville,44.5520105,-69.6317121
York,53.9590555,-1.0815361
