city,latitude,longitude
Aberdeen,57.1482429,-2.0928095
Annapolis,38.9786401,-76.492786
Baltimore,39.2908816,-76.610759
Bethesda-Chevy Chase,38.99117,-77.088817
Bowie,33.4198886,-94.4479626
Cambridge,52.2034823,0.1235817
Catonsville,39.27205,-76.73192
College Park,38.980666,-76.9369189
Columbia,4.099917,-72.9088133
Cumberland,39.2744299,-88.2423795
Easton,40.6916081,-75.2099866
Elkton,39.6065073,-75.8330934
Emmitsburg,39.7045417,-77.3269307
Frederick,39.415779,-77.4127562
Greenbelt,38.9937333,-76.8830658
Hagerstown,39.6419219,-77.7202641
Hyattsville,38.9529442,-76.9408647
Laurel,31.739966,-89.1326587
Oakland,37.8044557,-122.2713563
Ocean City,39.2776156,-74.5746001
Rockville,39.0817985,-77.1516844
Saint Marys City,38.18707,-76.4344
Salisbury,51.0690613,-1.7954134
Silver Spring,38.9927608,-77.0300984
Takoma Park,38.9778882,-77.0074765
Towson,39.4018552,-76.602388
Westminster,51.5004439,-0.1265398
