city,latitude,longitude
Abington,42.1048228,-70.9453218
Adams,39.9787786,-91.2110065
Amesbury,42.8579536,-70.9300921
Amherst,42.3685658,-72.505714
Andover,45.2332985,-93.2913405
Arlington,32.701939,-97.1056238
Athol,39.764787,-98.9199946
Attleboro,41.9438129,-71.2806515
Barnstable,41.7001132,-70.2994666
Bedford,52.1363806,-0.4675041
Beverly,42.5584284,-70.8800491
Boston,42.3602534,-71.0582912
Bourne,52.7682302,-0.3771636
Braintree,42.2064195,-71.005067
Brockton,42.0834335,-71.0183787
Brookline,42.3317642,-71.1211635
Cambridge,52.2034823,0.1235817
Canton,32.555664,-95.8640507
Charlestown,43.2387,-72.424622
Chelmsford,51.7345398,0.4724553
Chelsea,51.4875167,-0.1687007
Chicopee,42.1487691,-72.6071119
Clinton,38.5896187,-89.420064
Cohasset,47.263556,-93.620215
Concord,43.207178,-71.537476
Danvers,42.5750946,-70.9300507
Dartmouth,50.3514839,-3.583844
Dedham,41.9060971,-94.8222061
Dennis,51.5198072,-0.13768
Duxbury,42.0417695,-70.672259
Eastham,41.8301081,-69.973907
Edgartown,41.3890052,-70.5133599
Everett,47.9673056,-122.2013998
Fairhaven,41.6376043,-70.9036487
Fall River,41.7010642,-71.1546367
Falmouth,50.1552197,-5.0688262
Fitchburg,42.5903661,-71.8119837
Framingham,42.3095704,-71.4413097
Gloucester,51.8653705,-2.2458192
Great Barrington,42.2103722,-73.3389121
Greenfield,42.6097476,-72.5979752
Groton,41.3381782,-72.0297913
Harwich,51.9445801,1.2898522
Haverhill,42.7777829,-71.0767724
Hingham,42.2417669,-70.8897676
Holyoke,42.2071434,-72.60765
Hyannis,41.651513,-70.2825918
Ipswich,52.0579495,1.1526345
Lawrence,38.9719384,-95.2359496
Lenox,40.8816547,-94.5619095
Leominster,42.5267443,-71.7614891
Lexington,38.0464066,-84.4970393
Lowell,42.6334247,-71.3161718
Ludlow,52.3679896,-2.7193114
Lynn,33.1474257,-101.812592
Malden,42.4250964,-71.066163
Marblehead,42.500096,-70.8578253
Marlborough,42.3459271,-71.5522874
Medford,42.4184296,-71.1061639
Milton,30.6324149,-87.0396881
Nahant,42.4264859,-70.9189371
Natick,42.2836393,-71.346996
New Bedford,41.6362152,-70.934205
Newburyport,42.8125913,-70.8772751
Newton,30.8118989,-93.740504
North Adams,42.6990321,-73.1118964
Northampton,52.2381355,-0.8963907
Norton,39.7944702,-99.9100033
Norwood,40.7055931,-89.6987129
Peabody,42.5278731,-70.9286609
Pittsfield,42.451302,-73.260018
Plymouth,50.3712659,-4.1425658
Provincetown,42.058436,-70.1786375
Quincy,42.2509914,-71.0037374
Randolph,38.0472916,-89.8107962
Revere,42.4084302,-71.0119948
Salem,44.9391565,-123.033121
Sandwich,51.2752527,1.3408309
Saugus,42.4648183,-71.010051
Somerville,42.3875968,-71.0994968
South Hadley,42.2495463,-72.582258
Springfield,39.7990175,-89.6439575
Stockbridge,33.5442781,-84.2338093
Stoughton,42.9167389,-89.2178997
Sturbridge,42.0955914,-72.0820025
Sudbury,52.0401524,0.7299495
Taunton,51.0147895,-3.1029086
Tewksbury,42.6106479,-71.2342248
Truro,50.2627515,-5.0520467
Watertown,42.3709299,-71.1828321
Webster,37.2895151,-92.8792111
Wellesley,42.2964859,-71.2925571
Wellfleet,41.9376051,-70.0327996
West Bridgewater,42.0219112,-71.019004
West Springfield,42.105237,-72.6213712
Westfield,42.1390327,-72.7584859
Weymouth,50.6096257,-2.4543424
Whitman,42.0806617,-70.935599
Williamstown,38.6381245,-84.5604977
Woburn,42.4792618,-71.1522766
Woods Hole,41.5238393,-70.669195
Worcester,42.2625621,-71.8018877
