city,latitude,longitude
Adrian,41.8975152,-84.0373054
Alma,48.548887,-71.651459
Ann Arbor,42.2681569,-83.7312291
Battle Creek,42.3192548,-85.1824269
Bay City,43.5944677,-83.8888648
Benton Harbor,42.1167065,-86.4541894
Bloomfield Hills,42.583645,-83.2454883
Cadillac,44.6360817,-0.3173533
Charlevoix,45.202075,-84.9676387
Cheboygan,45.4417481,-84.4768486
Dearborn,42.3222599,-83.1763145
Detroit,42.3315509,-83.0466403
East Lansing,42.7320307,-84.4721678
Eastpointe,42.4683698,-82.9554746
Ecorse,42.2444833,-83.145757
Escanaba,45.7455707,-87.0647434
Flint,43.0161693,-83.6900211
Grand Haven,43.0630734,-86.2283864
Grand Rapids,42.9632405,-85.6678639
Grayling,44.661517,-84.714637
Grosse Pointe,42.3861485,-82.9118591
Hancock,40.3941712,-91.1458063
Highland Park,32.831563,-96.8007733
Holland,52.15517,5.38721
Houghton,46.8591287,-88.7774734
Interlochen,44.6447234,-85.7673003
Iron Mountain,45.820233,-88.06596
Ironwood,46.4555673,-90.1684371
Ishpeming,46.488547,-87.667636
Jackson,32.2990021,-90.1847691
Kalamazoo,42.291707,-85.5872286
Lansing,42.7337712,-84.5553805
Livonia,42.36837,-83.3527097
Ludington,43.9555406,-86.4477416
Mackinaw City,45.783901,-84.727828
Manistee,44.3308044,-86.0262043
Marquette,46.4481521,-87.6305899
Menominee,45.5785741,-87.562159
Midland,31.9973662,-102.0779482
Monroe,38.2722313,-90.1792484
Mount Clemens,42.5972563,-82.8779754
Mount Pleasant,33.1570582,-94.9694007
Muskegon,43.2341813,-86.2483921
Niles,42.0289319,-87.8122348
Petoskey,45.373343,-84.95533
Pontiac,42.6389216,-83.2910468
Port Huron,42.9815877,-82.440466
Royal Oak,42.4894801,-83.1446485
Saginaw,43.4200387,-83.9490365
Saint Ignace,45.8686238,-84.7278281
Saint Joseph,49.5344534,-1.529802
Sault Sainte Marie,46.52391,-84.320068
Traverse City,44.7606441,-85.6165301
Trenton,40.2170575,-74.7429463
Warren,40.8442828,-90.6168408
Wyandotte,39.1090458,-94.767624
Ypsilanti,42.2410562,-83.613055
