city,latitude,longitude
Albert Lea,43.6480127,-93.3682656
Alexandria,31.199004,29.894378
Austin,30.2711286,-97.7436995
Bemidji,47.4785418,-94.8907869
Bloomington,39.1670396,-86.5342881
Brainerd,46.3580221,-94.2008288
Crookston,47.7739988,-96.6081167
Duluth,46.7729322,-92.1251218
Ely,52.3990199,0.262039
Eveleth,47.462761,-92.538824
Faribault,43.6647961,-93.9510501
Fergus Falls,46.283015,-96.077558
Hastings,50.8553888,0.5824703
Hibbing,47.427155,-92.937689
International Falls,48.601033,-93.4105904
Little Falls,45.9763545,-94.3625024
Mankato,44.1634663,-93.9993505
Minneapolis,44.9772995,-93.2654692
Moorhead,46.8798148,-96.7469111
New Ulm,44.3140261,-94.4614177
Northfield,44.4582041,-93.161159
Owatonna,44.0839937,-93.2261076
Pipestone,44.0270012,-96.2566582
Red Wing,44.5624676,-92.5338013
Rochester,43.157285,-77.615214
Saint Cloud,48.8437412,2.219344
Saint Paul,44.9497487,-93.0931028
Sauk Centre,45.737465,-94.9525216
South Saint Paul,44.8938832,-93.0368359
Stillwater,36.1156306,-97.0585717
Virginia,37.1232245,-78.4927721
Willmar,45.1219492,-95.0435373
Winona,43.9582272,-91.7807784
