city,latitude,longitude
Bay Saint Louis,30.3132453,-89.3343223
Biloxi,30.3960318,-88.8853645
Canton,32.555664,-95.8640507
Clarksdale,34.2006479,-90.5702071
Columbia,4.099917,-72.9088133
Columbus,39.9622601,-83.0007065
Corinth,37.9386936,22.9280447
Greenville,34.851354,-82.3984882
Greenwood,37.8709542,-96.2471338
Grenada,12.1360374,-61.6904045
Gulfport,30.3674198,-89.0928155
Hattiesburg,31.3271189,-89.2903392
Holly Springs,34.7675614,-89.4486894
Jackson,32.2990021,-90.1847691
Laurel,31.739966,-89.1326587
Meridian,32.3643098,-88.703656
Natchez,31.5604076,-91.403171
Ocean Springs,30.4112904,-88.8279165
Oxford,39.7852062,-75.9790215
Pascagoula,30.3646795,-88.5585995
Pass Christian,30.3157527,-89.247543
Philadelphia,39.9527237,-75.1635262
Port Gibson,31.960955,-90.9839943
Starkville,33.4503998,-88.8183872
Tupelo,34.2576067,-88.7033859
Vicksburg,32.3528055,-90.8777342
West Point,33.6076186,-88.6503255
Yazoo City,32.8550965,-90.4056469
