city,latitude,longitude
Boonville,38.9751547,-92.7440277
Branson,36.6411357,-93.2175285
Cape Girardeau,37.3034933,-89.5230357
Carthage,36.8548083,10.3309924
Chillicothe,39.3331197,-82.9824019
Clayton,42.8547706,-91.3667151
Columbia,4.099917,-72.9088133
Excelsior Springs,39.3417244,-94.2223507
Ferguson,38.744707,-90.3038975
Florissant,38.7919683,-90.3227803
Fulton,40.4714305,-90.1845556
Hannibal,39.7082498,-91.3587413
Independence,39.0924792,-94.4137923
Jefferson City,38.577359,-92.1724265
Joplin,37.08418,-94.51323
Kansas City,39.100105,-94.5781416
Kirksville,40.1948848,-92.5833939
Lamar,33.6383552,-95.582343
Lebanon,33.8750629,35.843409
Lexington,38.0464066,-84.4970393
Maryville,38.7236594,-89.9559348
Mexico,22.5000485,-100.000037
Monett,36.9289518,-93.9277149
Neosho,37.5566345,-95.33166
New Madrid,36.5749606,-89.6780945
Rolla,13.8485004,77.0985133
Saint Charles,38.7877791,-90.6747372
Saint Joseph,49.5344534,-1.529802
Saint Louis,38.6529545,-90.2411166
Sainte Genevieve,37.88958,-90.1856637
Salem,44.9391565,-123.033121
Sedalia,38.7098314,-93.2295515
Springfield,39.7990175,-89.6439575
Warrensburg,38.7624373,-93.7409596
West Plains,36.7281652,-91.8525756
