city,latitude,longitude
Anaconda,46.1294685,-112.953131
Billings,45.7874957,-108.49607
Bozeman,45.6794293,-111.044047
Butte,39.6519275,-121.5858444
Dillon,45.216416,-112.637844
Fort Benton,47.817297,-110.671672
Glendive,47.10529,-104.71246
Great Falls,47.5048851,-111.29189
Havre,49.4938975,0.1079732
Helena,46.5927425,-112.036277
Kalispell,48.202158,-114.315321
Lewistown,47.0639275,-109.428213
Livingston,40.8682487,-88.5631125
Miles City,46.4085273,-105.840981
Missoula,46.8701049,-113.995267
Virginia City,45.293796,-111.946123
