city,latitude,longitude
Beatrice,40.266429,-96.747369
Bellevue,47.6144219,-122.192337
Boys Town,41.256529,-96.1340291
Chadron,44.9601372,3.9354515
Columbus,39.9622601,-83.0007065
Fremont,37.5482697,-121.988571
Grand Island,40.924271,-98.338685
Hastings,50.8553888,0.5824703
Kearney,40.4906216,-98.9472344
Lincoln,40.8088861,-96.7077751
McCook,41.7978095,-87.8447798
Minden,52.2881045,8.9168852
Nebraska City,40.676526,-95.858694
Norfolk,52.666667,1.0
North Platte,41.1238873,-100.7654232
Omaha,41.2587459,-95.9383758
Plattsmouth,41.0111979,-95.8862157
Red Cloud,40.088903,-98.519505
Sidney,-33.8548157,151.2164539
