city,latitude,longitude
Berlin,52.5170365,13.3888599
Claremont,34.0966764,-117.7197785
Concord,43.207178,-71.537476
Derry,54.9978678,-7.3213056
Dover,51.1251275,1.3134228
Durham,35.996653,-78.9018053
Exeter,50.7255794,-3.5269497
Franklin,33.2002659,-95.2231752
Hanover,52.3744779,9.7385532
Hillsborough,27.9184543,-82.3488057
Keene,42.933597,-72.2784264
Laconia,43.5278546,-71.470351
Lebanon,33.8750629,35.843409
Manchester,53.4794892,-2.2451148
Nashua,42.7656251,-71.4677032
Peterborough,52.5725769,-0.2427336
Plymouth,50.3712659,-4.1425658
Portsmouth,50.8036831,-1.075614
Rochester,43.157285,-77.615214
Salem,44.9391565,-123.033121
Somersworth,43.2625585,-70.8645872
