city,latitude,longitude
Asbury Park,40.2203907,-74.0120817
Atlantic City,39.3642852,-74.4229351
Bayonne,43.4933379,-1.475099
Bloomfield,40.7516884,-92.4149074
Bordentown,40.1462213,-74.7118264
Bound Brook,40.5684363,-74.5384889
Bridgeton,38.7566055,-90.42352
Burlington,44.4761601,-73.212906
Caldwell,29.8298971,-97.5959641
Camden,39.9448402,-75.1198911
Cape May,38.933431,-74.9214226
Clifton,40.8584328,-74.1637553
Cranford,40.6584358,-74.2995923
East Orange,40.767323,-74.2048677
Edison,40.5382375,-74.3945173
Elizabeth,40.6639916,-74.2107006
Englewood,39.6482059,-104.9879641
Fort Lee,40.8509333,-73.9701382
Glassboro,39.7027677,-75.1119434
Hackensack,40.8871438,-74.0410865
Haddonfield,39.8915022,-75.0376707
Hoboken,40.7433066,-74.0323752
Irvington,41.0350625,-73.8648521
Jersey City,40.7215682,-74.047455
Lakehurst,40.014561,-74.3112574
Lakewood,39.6311085,-105.1100582
Long Beach,33.7690164,-118.191604
Long Branch,40.3042778,-73.9923596
Madison,43.074761,-89.3837613
Menlo Park,37.4519671,-122.1779927
Millburn,57.4814618,-4.2075028
Millville,42.6999921,-91.0742964
Montclair,40.8164458,-74.2210643
Morristown,40.7970382,-74.4809868
Mount Holly,43.45242,-72.824936
New Brunswick,46.500283,-66.750183
New Milford,42.1798043,-89.0566993
Newark,40.735657,-74.1723667
Ocean City,39.2776156,-74.5746001
Orange,33.7500378,-117.8704931
Parsippany–Troy Hills,40.8646542,-74.4157768
Passaic,40.8567663,-74.1284764
Paterson,40.9167654,-74.171811
Perth Amboy,40.5067723,-74.2654234
Plainfield,41.6086711,-88.2054345
Princeton,40.3492744,-74.6592958
Ridgewood,40.9796683,-74.1194403
Roselle,41.9849897,-88.0797182
Rutherford,40.826489,-74.1068091
Salem,44.9391565,-123.033121
Somerville,42.3875968,-71.0994968
South Orange Village,40.7474966,-74.2635376
Totowa,40.9050988,-74.2098679
Trenton,40.2170575,-74.7429463
Union,37.4616454,-89.2504793
Union City,37.5963232,-122.0816297
Vineland,39.4862777,-75.0254256
Wayne,38.4251958,-88.4197678
Weehawken,40.7695457,-74.0204177
West New York,40.7856117,-74.0093129
West Orange,40.7987113,-74.2390353
Willingboro,40.0278894,-74.8690542
Woodbridge,40.55418,-74.2860008
