city,latitude,longitude
Acoma,37.5482553,-114.1725188
Alamogordo,32.9046474,-105.941835
Albuquerque,35.0841034,-106.650985
Artesia,33.8690197,-118.0796195
Belen,52.5170365,13.3888599
Carlsbad,50.2304694,12.8710769
Clovis,36.8252277,-119.7029194
Deming,32.2627416,-107.7581979
Farmington,44.6402434,-93.1435497
Gallup,35.5283506,-108.743907
Grants,35.14726,-107.8514465
Hobbs,32.707667,-103.1311314
Las Cruces,32.3140354,-106.7798078
Las Vegas,36.1672559,-115.148516
Los Alamos,35.8935335,-106.2897011
Lovington,32.9442913,-103.3484348
Portales,34.1861922,-103.3343978
Raton,36.9033719,-104.4393587
Roswell,34.02332,-84.360022
Santa Fe,-30.3154739,-61.1645076
Shiprock,36.786424,-108.6847042
Silver City,41.1133311,-95.637226
Socorro,34.0572858,-106.8930799
Taos,36.4072377,-105.5732847
Truth or Consequences,33.1283485,-107.2529059
Tucumcari,35.1719425,-103.7250405
