city,latitude,longitude
Albany,42.6511674,-73.754968
Amsterdam,52.3727598,4.8936041
Auburn,32.6098566,-85.4807825
Babylon,49.3975285,12.8617005
Batavia,-6.1753942,106.827183
Beacon,41.504879,-73.9696822
Bedford,52.1363806,-0.4675041
Binghamton,42.0987125,-75.9125262
Bronx,40.8466508,-73.8785937
Brooklyn,40.6501038,-73.9495823
Buffalo,42.8867166,-78.8783922
Chautauqua,37.146335,-96.2656966
Cheektowaga,42.9086793,-78.7480926
Clinton,38.5896187,-89.420064
Cohoes,-27.5645293,151.9481443
Coney Island,40.5759275,-73.9921959
Cooperstown,42.7006303,-74.924321
Corning,42.1435257,-77.0543408
Cortland,42.6011813,-76.1804843
Crown Point,41.4169806,-87.3653136
Dunkirk,51.0347708,2.3772525
East Aurora,42.7689141,-78.6177611
East Hampton,41.5744405,-72.4919236
Eastchester,40.957233,-73.8074042
Elmira,42.0897965,-76.8077338
Flushing,40.7654301,-73.8174291
Forest Hills,38.2153476,-85.5857931
Fredonia,5.8750747,-75.6908071
Garden City,37.9716898,-100.8726618
Geneva,46.2017559,6.1466014
Glens Falls,43.309941,-73.644447
Gloversville,43.0505088,-74.345724
Great Neck,40.8006567,-73.7284647
Hammondsport,42.4079347,-77.2236302
Harlem,40.8078786,-73.9454154
Hempstead,33.6949319,-93.6929825
Herkimer,43.0256259,-74.9859889
Hudson,42.7654433,-71.4397167
Huntington,38.4192496,-82.445154
Hyde Park,51.5074889,-0.1622367
Ilion,38.0319662,23.7078788
Ithaca,42.4396039,-76.4968019
Jamestown,37.2104434,-76.7738928
Johnstown,40.3267407,-78.9219698
Kingston,17.9712148,-76.7928128
Lackawanna,42.8190903,-78.8337175
Lake Placid,44.279621,-73.979874
Levittown,40.1541257,-74.8408768
Lockport,43.1687104,-78.696567
Mamaroneck,40.927868,-73.7250442
Manhattan,40.7896239,-73.9598939
Massena,41.2541538,-94.7683113
Middletown,41.5496141,-72.6515776
Mineola,40.7492678,-73.6406845
Mount Vernon,38.3172715,-88.9031201
New Paltz,41.7464972,-74.0844894
New Rochelle,40.9115386,-73.7826363
New Windsor,41.4767605,-74.0237519
New York City,40.7127281,-74.0060152
Newburgh,41.5034271,-74.0104179
Niagara Falls,43.08436,-79.0614686
North Hempstead,40.8113039,-73.6996497
Nyack,41.091121,-73.9196794
Ogdensburg,44.694285,-75.486374
Olean,42.0774779,-78.4298613
Oneida,42.1628627,-112.5703083
Oneonta,33.9481537,-86.472764
Ossining,41.1609095,-73.8781619
Oswego,41.6834778,-88.3525714
Oyster Bay,40.7501803,-73.4934796
Palmyra,34.5526608,38.259261
Peekskill,41.289811,-73.9204922
Plattsburgh,44.69282,-73.45562
Port Washington,40.8254914,-73.681282
Potsdam,52.4009309,13.0591397
Poughkeepsie,41.7065539,-73.9283672
Queens,40.7498243,-73.7976337
Rensselaer,40.9367045,-87.1508562
Rochester,43.157285,-77.615214
Rome,41.8933203,12.4829321
Rotterdam,51.9244424,4.47775
Rye,46.8712641,5.4297754
Sag Harbor,40.9978727,-72.2922292
Saranac Lake,44.329497,-74.131279
Saratoga Springs,43.0821793,-73.7853915
Scarsdale,40.9880495,-73.7974133
Schenectady,42.8142432,-73.9395687
Seneca Falls,42.910719,-76.7967848
Southampton,50.9025349,-1.404189
Staten Island,40.5834557,-74.1496048
Stony Brook,40.9256538,-73.140943
Stony Point,41.2295386,-73.9870847
Syracuse,37.0646139,15.2907196
Tarrytown,41.065586,-73.8673293
Ticonderoga,43.8487795,-73.4232317
Tonawanda,42.9935815,-78.8819044
Troy,39.957374,26.2380175
Utica,43.1009031,-75.2326641
Watertown,42.3709299,-71.1828321
Watervliet,42.1867052,-86.2605776
Watkins Glen,42.3810555,-76.8705777
West Seneca,42.839435,-78.7465029
White Plains,41.0339862,-73.7629097
Woodstock,42.0410578,-74.1182492
Yonkers,40.9312099,-73.8987469
