city,latitude,longitude
Asheboro,35.7079146,-79.8136446
Asheville,35.6009498,-82.5540161
Bath,51.3813864,-2.3596963
Beaufort,50.2207301,3.9661418
Boone,42.321246,-88.8235511
Burlington,44.4761601,-73.212906
Chapel Hill,35.9131542,-79.05578
Charlotte,35.2272086,-80.8430827
Concord,43.207178,-71.537476
Durham,35.996653,-78.9018053
Edenton,36.057938,-76.6077213
Elizabeth City,36.2956836,-76.2247697
Fayetteville,36.0625843,-94.1574328
Gastonia,35.2622158,-81.1838794
Goldsboro,35.3848841,-77.9927651
Greensboro,36.0726355,-79.7919754
Greenville,34.851354,-82.3984882
Halifax,44.648618,-63.5859487
Henderson,32.182598,-95.7893178
Hickory,37.959055,-93.3334746
High Point,35.9556924,-80.0053176
Hillsborough,27.9184543,-82.3488057
Jacksonville,30.3321838,-81.655651
Kinston,35.2626635,-77.5816353
Kitty Hawk,36.0664318,-75.6935448
Lumberton,34.6183433,-79.0083993
Morehead City,34.7229391,-76.7260436
Morganton,35.7454291,-81.6870837
Nags Head,35.9573923,-75.624062
New Bern,35.1084931,-77.0441143
Pinehurst,30.1071543,-93.7746117
Raleigh,35.7803977,-78.6390989
Rocky Mount,35.9423833,-77.7956949
Salisbury,51.0690613,-1.7954134
Shelby,31.7716364,-94.1301652
Washington,38.8950368,-77.0365427
Wilmington,39.7459468,-75.546589
Wilson,29.1589961,-98.1251465
Winston-Salem,36.0998131,-80.2440518
