city,latitude,longitude
Ada,38.8398935,-83.5051704
Altus,34.6381255,-99.3339754
Alva,36.8050308,-98.6664737
Anadarko,35.0725367,-98.2436591
Ardmore,34.1742611,-97.1436254
Bartlesville,36.7494864,-95.9782966
Bethany,40.2683344,-94.0282861
Chickasha,35.052565,-97.9364326
Claremore,36.3126005,-95.6160686
Clinton,38.5896187,-89.420064
Cushing,42.4647099,-95.6750061
Duncan,34.5023029,-97.9578129
Durant,41.5997498,-90.9107038
Edmond,35.6571367,-97.4649038
El Reno,39.5261206,-119.8126581
Elk City,37.2892269,-95.9116515
Enid,36.3967623,-97.8791341
Eufaula,35.2873206,-95.5824846
Frederick,39.415779,-77.4127562
Guthrie,41.6721976,-94.4985983
Guymon,36.6828041,-101.4815493
Hobart,-42.8825088,147.3281233
Holdenville,35.0803617,-96.3991765
Hugo,45.159967,-92.9932734
Lawton,34.6086854,-98.3903305
McAlester,34.9334981,-95.7697934
Miami,25.7741728,-80.19362
Midwest City,35.4495097,-97.3967025
Moore,35.8156121,-101.9104355
Muskogee,35.7478769,-95.3696909
Norman,35.2225717,-97.4394816
Oklahoma City,35.4729886,-97.5170536
Okmulgee,35.6234738,-95.960341
Pauls Valley,34.7400809,-97.2222451
Pawhuska,36.6678426,-96.3372309
Perry,38.0772859,-89.3760499
Ponca City,36.703647,-97.081898
Pryor,36.3084275,-95.3169136
Sallisaw,35.4603711,-94.7874463
Sand Springs,36.1394339,-96.1100025
Sapulpa,36.0005035,-96.1049612
Seminole,28.7225829,-81.2353683
Shawnee,39.0273676,-95.7627535
Stillwater,36.1156306,-97.0585717
Tahlequah,35.91537,-94.969956
The Village,35.5658553,-97.5494185
Tulsa,36.1556805,-95.9929113
Vinita,45.6476663,11.8665254
Wewoka,35.1586902,-96.4933457
Woodward,41.8569299,-93.9218956
