city,latitude,longitude
Albany,42.6511674,-73.754968
Ashland,46.2062319,-90.6802594
Astoria,46.187885,-123.831256
Baker City,44.7748748,-117.8343848
Beaverton,45.4871723,-122.80378
Bend,44.0581728,-121.3153096
Brookings,44.311461,-96.79844
Burns,38.0902957,-96.8864144
Coos Bay,43.3678937,-124.2174647
Corvallis,44.5645659,-123.2620435
Eugene,44.0505054,-123.0950506
Grants Pass,42.4393707,-123.3272489
Hillsboro,45.5228939,-122.989827
Hood River,45.7087902,-121.5123728
Jacksonville,30.3321838,-81.655651
John Day,44.4158398,-118.9534319
Klamath Falls,42.224867,-121.7816704
La Grande,45.3246068,-118.0878695
Lake Oswego,45.4206749,-122.670649
Lakeview,42.1887721,-120.345792
McMinnville,45.2100367,-123.194463
Medford,42.4184296,-71.1061639
Newberg,45.300347,-122.972751
Newport,41.4899827,-71.3137707
Ontario,50.000678,-86.000977
Oregon City,45.3573429,-122.6067583
Pendleton,45.672075,-118.7885967
Port Orford,42.745665,-124.497327
Portland,45.5202471,-122.6741949
Prineville,44.2998261,-120.834972
Redmond,47.6694141,-122.1238767
Reedsport,43.702093,-124.097083
Roseburg,43.216505,-123.3417381
Salem,44.9391565,-123.033121
Seaside,36.62593,-121.8169383
Springfield,39.7990175,-89.6439575
The Dalles,45.6015056,-121.1841587
Tillamook,45.455921,-123.844429
