city,latitude,longitude
Abington,42.1048228,-70.9453218
Aliquippa,40.6102386,-80.267726
Allentown,40.6022059,-75.4712794
Altoona,40.518681,-78.394736
Ambridge,40.5892339,-80.22506
Bedford,52.1363806,-0.4675041
Bethlehem,31.7043556,35.2061876
Bloomsburg,41.0044958,-76.4537302
Bradford,53.7944229,-1.7519186
Bristol,51.4538022,-2.5972985
Carbondale,37.7274692,-89.216655
Carlisle,54.8948478,-2.9362311
Chambersburg,39.9405903,-77.6598624
Chester,53.1908873,-2.8908955
Columbia,4.099917,-72.9088133
Easton,40.6916081,-75.2099866
Erie,42.1294712,-80.0852695
Franklin,33.2002659,-95.2231752
Germantown,38.5536601,-89.5384209
Gettysburg,39.8308973,-77.231012
Greensburg,40.3014581,-79.5389289
Hanover,52.3744779,9.7385532
Harmony,43.555189,-92.010176
Harrisburg,40.2663107,-76.8861122
Hazleton,40.9646867,-75.9852789
Hershey,40.2854881,-76.6506001
Homestead,25.4718946,-80.4759905
Honesdale,41.5767552,-75.2587871
Indiana,40.3270127,-86.1746933
Jeannette,40.3281247,-79.6153198
Jim Thorpe,40.8759235,-75.7324127
Johnstown,40.3267407,-78.9219698
Lancaster,40.03813,-76.3056686
Lebanon,33.8750629,35.843409
Levittown,40.1541257,-74.8408768
Lewistown,47.0639275,-109.428213
Lock Haven,41.1369077,-77.4471641
Lower Southampton,40.1541198,-74.9970338
McKeesport,40.3478472,-79.864215
Meadville,41.641445,-80.151449
Middletown,41.5496141,-72.6515776
Monroeville,40.4211798,-79.7881025
Nanticoke,41.2052654,-76.0049353
New Castle,40.9999202,-80.3471856
New Hope,45.0347176,-93.3861037
New Kensington,40.5697893,-79.7647705
Norristown,40.121497,-75.3399048
Oil City,35.4263462,-118.9603764
Philadelphia,39.9527237,-75.1635262
Phoenixville,40.1303822,-75.5149128
Pittsburgh,40.4416941,-79.9900861
Pottstown,40.2452976,-75.6496424
Pottsville,40.6851324,-76.1953701
Reading,51.456659,-0.9696512
Scranton,41.4086874,-75.6621294
Shamokin,40.7887609,-76.5585175
Sharon,41.2331116,-80.4934035
State College,40.7944504,-77.8616386
Stroudsburg,40.9864261,-75.1946649
Sunbury,40.8619754,-76.7936252
Swarthmore,39.9020565,-75.3499124
Tamaqua,40.7974296,-75.9696186
Titusville,28.6122187,-80.8075538
Uniontown,39.900076,-79.7164326
Warren,40.8442828,-90.6168408
Washington,38.8950368,-77.0365427
West Chester,39.9597213,-75.6059638
Wilkes-Barre,41.2464824,-75.8817316
Williamsport,41.2493292,-77.0027671
York,53.9590555,-1.0815361
