city,latitude,longitude
Barrington,42.1539141,-88.1361888
Bristol,51.4538022,-2.5972985
Central Falls,41.8906553,-71.3922785
Cranston,41.7809588,-71.4371257
East Greenwich,41.6603788,-71.4558911
East Providence,41.8137116,-71.3700545
Kingston,17.9712148,-76.7928128
Middletown,41.5496141,-72.6515776
Narragansett,41.4501021,-71.4495005
Newport,41.4899827,-71.3137707
North Kingstown,41.5514283,-71.4693875
Pawtucket,41.878711,-71.3825558
Portsmouth,50.8036831,-1.075614
Providence,41.8239891,-71.4128343
South Kingstown,41.454944,-71.5394738
Tiverton,50.902735,-3.4891945
Warren,40.8442828,-90.6168408
Warwick,52.2814519,-1.5815742
Westerly,41.3775996,-71.8272911
Wickford,41.5739753,-71.4614464
Woonsocket,42.0028761,-71.5147839
