city,latitude,longitude
Abbeville,50.1060835,1.8337029
Aiken,33.5598586,-81.721952
Anderson,31.7819242,-95.6258199
Beaufort,50.2207301,3.9661418
Camden,39.9448402,-75.1198911
Charleston,32.7876012,-79.9402728
Columbia,4.099917,-72.9088133
Darlington,54.5242081,-1.5555812
Florence,43.7698712,11.2555757
Gaffney,35.0717945,-81.6498195
Georgetown,6.8137426,-58.1624465
Greenville,34.851354,-82.3984882
Greenwood,37.8709542,-96.2471338
Hartsville,34.3740431,-80.0734005
Lancaster,40.03813,-76.3056686
Mount Pleasant,33.1570582,-94.9694007
Myrtle Beach,33.6956461,-78.8900409
Orangeburg,33.4918203,-80.8556476
Rock Hill,34.9248667,-81.0250784
Spartanburg,34.9498007,-81.9320157
Sumter,28.6689748,-82.076402
Union,37.4616454,-89.2504793
