city,latitude,longitude
Aberdeen,57.1482429,-2.0928095
Belle Fourche,44.670905,-103.851407
Brookings,44.311461,-96.79844
Canton,32.555664,-95.8640507
Custer,38.1072962,-105.3543375
De Smet,44.38747,-97.550354
Deadwood,44.376651,-103.729642
Hot Springs,34.5038393,-93.0552437
Huron,43.8385749,-83.0221987
Lead,44.352207,-103.765198
Madison,43.074761,-89.3837613
Milbank,45.219131,-96.635617
Mitchell,32.2898049,-100.9213003
Mobridge,45.537216,-100.427913
Pierre,45.2942,5.94734
Rapid City,44.0869329,-103.2274481
Sioux Falls,43.5460587,-96.7313928
Spearfish,44.490817,-103.85937
Sturgis,44.409707,-103.509079
Vermillion,42.7795273,-96.929101
Watertown,42.3709299,-71.1828321
Yankton,42.8712938,-97.3967011
