city,latitude,longitude
Alcoa,35.7895271,-83.9737935
Athens,37.9839412,23.7283052
Chattanooga,35.0457219,-85.3094883
Clarksville,36.5277607,-87.3588703
Cleveland,41.5051613,-81.6934446
Columbia,4.099917,-72.9088133
Cookeville,36.1623886,-85.4997057
Dayton,39.7589478,-84.1916069
Elizabethton,36.3487196,-82.2106876
Franklin,33.2002659,-95.2231752
Gallatin,37.7509507,-88.2264519
Gatlinburg,35.714259,-83.5101638
Greeneville,36.1631575,-82.8309861
Jackson,32.2990021,-90.1847691
Johnson City,36.3134398,-82.3534728
Jonesborough,36.2944928,-82.4734089
Kingsport,36.550238,-82.5594293
Knoxville,35.9603948,-83.9210261
Lebanon,33.8750629,35.843409
Maryville,38.7236594,-89.9559348
Memphis,35.1490215,-90.0516285
Morristown,40.7970382,-74.4809868
Murfreesboro,35.8460396,-86.3921096
Nashville,36.1622767,-86.7742984
Norris,40.6258717,-90.0320607
Oak Ridge,36.0103562,-84.2696449
Shelbyville,38.2120144,-85.2235666
Tullahoma,35.3620235,-86.2094342
