city,latitude,longitude
Abilene,32.44645,-99.7475905
Alpine,38.5893934,-119.8345013
Amarillo,35.2072185,-101.8338246
Arlington,32.701939,-97.1056238
Austin,30.2711286,-97.7436995
Baytown,29.7355047,-94.9774274
Beaumont,30.0860459,-94.1018461
Big Spring,32.250398,-101.4787356
Borger,35.6678204,-101.3973876
Brownsville,25.9140256,-97.4890856
Bryan,30.6743643,-96.3699632
Canyon,34.9925339,-101.9278833
Cleburne,35.5298937,-92.0312818
College Station,30.5955289,-96.3071042
Corpus Christi,27.7951482,-97.3942053
Crystal City,28.6834097,-99.8274585
Dallas,32.7762719,-96.7968559
Del Rio,29.3655405,-100.894698
Denison,33.7556593,-96.536658
Denton,33.1838787,-97.1413417
Eagle Pass,28.7099337,-100.4938137
Edinburg,55.9533456,-3.1883749
El Paso,31.7754152,-106.464634
Fort Worth,32.753177,-97.3327459
Freeport,42.2966861,-89.6212271
Galveston,29.299328,-94.7945882
Garland,32.912624,-96.6388833
Goliad,28.6467776,-97.4379552
Greenville,34.851354,-82.3984882
Harlingen,26.1908241,-97.6959794
Houston,29.7589382,-95.3676974
Huntsville,34.729847,-86.5859011
Irving,32.8295183,-96.9442177
Johnson City,36.3134398,-82.3534728
Kilgore,32.3860733,-94.8758518
Killeen,31.1171441,-97.727796
Kingsville,27.5158689,-97.856109
Laredo,27.5236998,-99.497352
Longview,32.5007031,-94.74049
Lubbock,33.5635206,-101.879336
Lufkin,31.3386242,-94.7288558
Marshall,41.0324537,-89.2998456
McAllen,26.2043691,-98.230082
McKinney,33.1976496,-96.6154471
Mesquite,32.7666103,-96.599472
Midland,31.9973662,-102.0779482
Mission,26.2159066,-98.3252932
Nacogdoches,31.5970503,-94.5927451
New Braunfels,29.7028266,-98.1257348
Odessa,46.4873195,30.7392776
Orange,33.7500378,-117.8704931
Pampa,-37.2314643,-65.3972948
Paris,48.8588897,2.320041
Pasadena,34.1476452,-118.1444779
Pecos,30.7857437,-102.8065415
Pharr,26.1947962,-98.1836216
Plainview,34.1847936,-101.7068417
Plano,33.0136764,-96.6925096
Port Arthur,29.8988618,-93.9288723
Port Lavaca,28.6149968,-96.6260892
Richardson,32.9481789,-96.7297206
San Angelo,31.4648357,-100.4398442
San Antonio,29.4246002,-98.4951405
San Felipe,31.0269529,-114.8396077
San Marcos,29.8826436,-97.9405828
Sherman,36.2452294,-101.8858689
Sweetwater,32.4709519,-100.405938
Temple,31.098207,-97.3427847
Texarkana,33.4462865,-94.0763807
Texas City,29.396013,-94.9175485
Tyler,32.3512601,-95.3010624
Uvalde,29.300357,-99.7733181
Victoria,-36.5986096,144.6780052
Waco,31.549333,-97.1466695
Weatherford,32.7589648,-97.7970748
Wichita Falls,33.9137085,-98.4933873
Ysleta,31.6984446,-106.3249824
