city,latitude,longitude
Alta,70.0496275,23.0825401
American Fork,40.3768954,-111.7957645
Bountiful,40.8894611,-111.8804817
Brigham City,41.5103717,-112.0155619
Cedar City,37.6774238,-113.061827
Clearfield,40.8008223,-94.4757947
Delta,33.3926893,-95.6749486
Fillmore,43.6466588,-92.0636359
Green River,41.5290933,-109.466473
Heber City,40.5065256,-111.4133091
Kanab,37.0481417,-112.5285476
Layton,41.0751048,-111.9741925
Lehi,48.1113387,-1.6800198
Logan,40.1075089,-89.3768539
Manti,39.2682951,-111.6368627
Moab,38.5738096,-109.5462146
Monticello,42.617236,8.9546269
Murray,44.017855,-95.7615205
Nephi,39.7102336,-111.8363216
Ogden,41.2230048,-111.9738429
Orderville,37.2756009,-112.638126
Orem,40.2971825,-111.694943
Panguitch,37.8227551,-112.4357638
Park City,40.6460635,-111.4979741
Payson,39.8169907,-91.2423657
Price,39.6008082,-110.8063479
Provo,40.2338438,-111.6585337
Saint George,12.0535331,-61.751805
Salt Lake City,40.7596198,-111.8867975
Spanish Fork,40.114955,-111.654923
Springville,42.0594453,-91.4426703
Tooele,40.4062872,-113.1966394
Vernal,40.4556825,-109.5284741
