city,latitude,longitude
Barre,47.4042066,6.1789917
Bellows Falls,43.134063,-72.444534
Bennington,39.030556,-97.594199
Brattleboro,42.8507588,-72.5572913
Burlington,44.4761601,-73.212906
Essex,41.875,-82.4928913
Manchester,53.4794892,-2.2451148
Middlebury,44.0072736,-73.1633011
Montpelier,43.6112422,3.8767337
Newport,41.4899827,-71.3137707
Plymouth,50.3712659,-4.1425658
Rutland,52.6423036,-0.6632643
Saint Albans,44.8107911,-73.0833607
Saint Johnsbury,44.419464,-72.0153096
Sharon,41.2331116,-80.4934035
Winooski,44.4910402,-73.1861064
