city,latitude,longitude
Abingdon,51.6714842,-1.2779715
Alexandria,31.199004,29.894378
Bristol,51.4538022,-2.5972985
Charlottesville,38.029306,-78.4766781
Chesapeake,36.7183708,-76.2466798
Danville,40.125222,-87.6304614
Fairfax,38.8462236,-77.3063733
Falls Church,38.882334,-77.1710914
Fredericksburg,38.3031837,-77.4605399
Hampton,37.0300969,-76.3452057
Hanover,52.3744779,9.7385532
Hopewell,37.3043154,-77.2872001
Lexington,38.0464066,-84.4970393
Lynchburg,37.4137536,-79.1422464
Manassas,38.7509488,-77.4752667
Martinsville,36.6915262,-79.8725386
New Market,34.895672,-86.4149898
Newport News,36.9775016,-76.42977
Norfolk,52.666667,1.0
Petersburg,59.938732,30.316229
Portsmouth,50.8036831,-1.075614
Reston,55.8521311,-2.1910493
Richmond,37.5385087,-77.43428
Roanoke,37.270973,-79.9414313
Staunton,38.1495947,-79.072557
Suffolk,52.2410014,1.046683
Virginia Beach,36.8529841,-75.9774183
Waynesboro,38.0686668,-78.8893999
Williamsburg,37.2708788,-76.7074042
Winchester,51.0612766,-1.3131692
