city,latitude,longitude
Aberdeen,57.1482429,-2.0928095
Anacortes,48.5020123,-122.6237356
Auburn,32.6098566,-85.4807825
Bellevue,47.6144219,-122.192337
Bellingham,48.7544012,-122.4788361
Bremerton,47.5653663,-122.6246836
Centralia,38.5250491,-89.1334037
Coulee Dam,47.9694955,-118.9746673
Coupeville,48.9105864,4.6239934
Ellensburg,46.9970635,-120.5451223
Ephrata,40.1799111,-76.1789242
Everett,47.9673056,-122.2013998
Hoquiam,46.980929,-123.889335
Kelso,46.1420334,-122.9060318
Kennewick,46.2087066,-119.1199192
Longview,32.5007031,-94.74049
Moses Lake,47.1301417,-119.2780771
Oak Harbor,48.2931559,-122.6432245
Olympia,37.63819,21.6305376
Pasco,28.2996183,-82.4522702
Point Roberts,48.9866884,-123.0667069
Port Angeles,48.118146,-123.4307413
Pullman,46.7304268,-117.173895
Puyallup,47.1849009,-122.29214
Redmond,47.6694141,-122.1238767
Renton,47.4799078,-122.2034496
Richland,38.7060457,-88.0949352
Seattle,47.6038321,-122.3300624
Spokane,47.6571934,-117.4235106
Tacoma,47.2495798,-122.4398746
Vancouver,49.2608724,-123.113952
Walla Walla,46.0667277,-118.3393456
Wenatchee,47.4234599,-120.3103494
Yakima,46.601557,-120.5108421
