city,latitude,longitude
Bath,51.3813864,-2.3596963
Beckley,37.7781702,-81.1881557
Bluefield,37.2698395,-81.2223195
Buckhannon,38.9939426,-80.2322698
Charles Town,39.2891836,-77.859581
Charleston,32.7876012,-79.9402728
Clarksburg,39.2806451,-80.3445341
Elkins,38.925927,-79.8466552
Fairmont,43.6521775,-94.4610832
Grafton,-29.69125,152.9333435
Harpers Ferry,43.2005358,-91.1531852
Hillsboro,45.5228939,-122.989827
Hinton,42.6267251,-96.294369
Huntington,38.4192496,-82.445154
Keyser,39.4409277,-78.9739156
Lewisburg,37.8017879,-80.4456303
Logan,40.1075089,-89.3768539
Martinsburg,39.4562528,-77.9639604
Morgantown,39.6296809,-79.9559437
Moundsville,39.9203526,-80.7431407
New Martinsville,39.6445214,-80.8575993
Parkersburg,39.2699565,-81.5506916
Philippi,41.0132841,24.2839744
Point Pleasant,38.8445251,-82.1370889
Princeton,40.3492744,-74.6592958
Romney,39.3419698,-78.7564522
Shepherdstown,39.4300996,-77.804161
South Charleston,38.368429,-81.69957
Summersville,38.2812203,-80.8525981
Weirton,40.4189566,-80.5895167
Welch,37.4328886,-81.5844357
Wellsburg,42.4347884,-92.9245348
Weston,51.3471927,-2.9778916
Wheeling,42.138889,-87.9310944
White Sulphur Springs,37.7965149,-80.2975734
Williamson,30.6580927,-97.6041649
