city,latitude,longitude
Appleton,44.2613967,-88.4069744
Ashland,46.2062319,-90.6802594
Baraboo,43.4704014,-89.7437844
Belmont,48.4086571,7.2386756
Beloit,42.5083272,-89.031784
Eau Claire,44.811349,-91.4984941
Fond du Lac,43.7748763,-88.4458033
Green Bay,44.5126379,-88.0125794
Hayward,37.6688205,-122.080796
Janesville,42.6829765,-89.0226793
Kenosha,42.5846773,-87.8212263
La Crosse,43.8014053,-91.2395429
Lake Geneva,46.3613502,6.393266
Madison,43.074761,-89.3837613
Manitowoc,44.0886059,-87.6575841
Marinette,45.0999594,-87.6307265
Menasha,44.2022293,-88.4465361
Milwaukee,43.0349931,-87.922497
Neenah,44.1858193,-88.462609
New Glarus,42.8145157,-89.6338752
Oconto,44.8872124,-87.8645473
Oshkosh,44.0206919,-88.5408574
Peshtigo,45.05443,-87.7492721
Portage,42.2011538,-85.5800022
Prairie du Chien,43.05194,-91.1409933
Racine,42.7260523,-87.7825242
Rhinelander,45.636623,-89.412075
Ripon,54.1368788,-1.5213194
Sheboygan,43.7508284,-87.71453
Spring Green,43.1769367,-90.0680478
Stevens Point,44.5229223,-89.574111
Sturgeon Bay,44.8341639,-87.377042
Superior,43.4302376,-94.9463794
Waukesha,43.0116784,-88.2314813
Wausau,44.9596017,-89.6298239
Wauwatosa,43.0494122,-88.0079271
West Allis,43.0166806,-88.0070315
West Bend,43.4252776,-88.1834277
Wisconsin Dells,43.6256168,-89.7715646
